kanji 1	kanji 2	kanji 3	kanji 4	kana 1	kana 2	Part-of-Speech	meaning
本劫	本コウ			ほんこう		n	(go terminology)
本戦				ほんせん		n	main tournament
本手				ほんて		n	honte
ポン抜き	ポンヌキ			ぽんぬき		n	ponnuki
舞殿				まいど		n	(go terminology)
曲がり	マガリ			まがり		n	(go terminology)
曲がり四目	マガリ四目			まがりしもく		n	(go terminology)
曲がり付け	マガリ付け	マガリツケ		まがりつけ		n	(go terminology)
曲げ	マゲ			まげ		n	(go terminology)
曲げ付け	マゲツケ			まげつけ		n	(go terminology)
負ける				まける		v	(go terminology)
間違い				まちがい		n	(go terminology)
まとまり				まとまり		n	(go terminology)
真似碁	まね碁	マネ碁		まねご		n	(go terminology)
守り				まもり		n	(go terminology)
守る				まもる		v	(go terminology)
万年劫	万年コウ			まんねんこう		n	(go terminology)
見合い				みあい		n	miai
右				みぎ		n	(go terminology)
ミニ中国流				みにちゅうごくりゅう		n	(go terminology)
妙手				みょうしゅ		n	spectacular move
向かい小目				むかいこもく		n	(go terminology)
無劫	無コウ			むこう		n	(go terminology)
無条件生き				むじょうけんいき		n	unconditional life
無勝負				むしょうぶ		n	(go terminology)
村正の妖刀				むらまさのようとう		n	(go terminology)
無理				むり		n	(go terminology)
目	眼			め		n	(go terminology)
眼あり眼なし	目あり目なし	メアリメナシ		めありめなし		n	(go terminology)
名人				めいじん		n	the Meijin title
眼形				めがたち	がんけい	n	eye shape
目	モク			もく		n	(go terminology)
目外し	目ハズシ			もくはずし		n	(go terminology)
モタレ				もたれ		n	(go terminology)
モチコミ				もちこみ		n	a failure resulting in orphaned stones with little or no aji
模様	モヨウ			もよう		n	moyo
櫓				やぐら		n	(go terminology)
破る				やぶる		v	(go terminology)
破れる				やぶれる		v	(go terminology)
優勢				ゆうせい		n	(go terminology)
ゆるみシチョウ	ユルミシチョウ			ゆるみしちょう		n	(go terminology)
良い	好い			よい	いい	adj-i	(go terminology)
様子見				ようすみ		n	(go terminology)
様子見る				ようすみる		v	(go terminology)
様子を見る	ようすを見る			ようすをみる		v	(go terminology)
横				よこ		n	(go terminology)
横ツケ				よこつけ		n	(go terminology)
横ヅッパリ				よこづっぱり		n	(go terminology)
寄せ	ヨセ			よせ		n	endgame
寄せ劫	ヨセコウ			よせこう		n	(go terminology)
読み				よみ		n	(go terminology)
弱い				よわい		adj-i	(go terminology)
弱気				よわき		n	(go terminology)
四間ビラキ				よんけんびらき		n	(go terminology)
四子				よんし		n	four stones
四段				よんだん		n	4 dan
四目中手	四目ナカデ			よんもくなかで		n	(go terminology)
四連星				よんれんせい		n	yon-ren-sei fuseki
四路				よんろ		n	4x4
利				り		n	(go terminology)
竜星				りゅうせい		n	the Ryusei title
両当たり	両アタリ			りょうあたり		n	(go terminology)
両ガカリ				りょうがかり		n	(go terminology)
両ガラミ				りょうがらみ		n	(go terminology)
両ゲイマ				りょうげいま		n	(go terminology)
両劫	両コウ			りょうこう		n	(go terminology)
両後手				りょうごて		n	(go terminology)
両先手				りょうせんて		n	(go terminology)
両にらみ				りょうにらみ		n	(go terminology)
両ノゾキ				りょうのぞき		n	(go terminology)
両バネ				りょうばね		n	(go terminology)
両翼の陣				りょうよくのじん		n	(go terminology)
冷静				れいせい		n	(go terminology)
連碁				れんご		n	(go terminology)
連続				れんぞく		n	(go terminology)
連絡				れんらく		n	(go terminology)
六子				ろくし		n	six stones
六段				ろくだん		n	6 dan
六目中手	六目ナカデ			ろくもくなかで		n	(go terminology)
分かれ				わかれ		n	split
渡り	ワタリ			わたり		n	(go terminology)
割り打ち				わりうち		n	(go terminology)
割り込み	ワリコミ			わりこみ		n	warikomi
悪い				わるい		adj-i	(go terminology)
