kanji 1	kanji 2	kanji 3	kanji 4	kana 1	kana 2	Part-of-Speech	meaning
神の一手				かみのいって		n	a divine move
亀の甲	亀の甲羅			かめのこう	かめのこうら	n	(go terminology)
鴨				かも		n	(go terminology)
辛い				からい		adj-i	(go terminology)
絡み	カラミ			からみ		n	(go terminology)
軽い				かるい		adj-i	(go terminology)
側				かわ		n	(go terminology)
眼形				がんけい	めがたち	n	(go terminology)
関西棋院				かんさいきいん		n	(go terminology)
関西総本部				かんさいそうほんぶ		n	Kansai general headquarters (Nihon Ki-in Osaka branch)
感想戦				かんそうせん		n	replay and analysis by the players just after the game has finished
観音開き	観音ビラキ			かんのんびらき		n	(go terminology)
完敗				かんぱい		n	(go terminology)
肝要				かんよう		n	(go terminology)
棋				き		n	(go terminology)
気合い				きあい		n	(go terminology)
利かし	キカし			きかし		n	kikashi
利き				きき		n	(go terminology)
危険				きけん		n	(go terminology)
棋士				きし		n	(go terminology)
キズ				きず		n	(go terminology)
棋聖				きせい		n	the Kisei title
棋戦				きせん		n	(go terminology)
厳しい	きびしい			きびしい		adj-i	(go terminology)
棋譜				きふ		n	kifu
棋譜を並べる				きふをならべる		v	to replay the moves of a game
決め手				きめて		n	(go terminology)
逆コミ				ぎゃくこみ		n	(go terminology)
逆先手				ぎゃくせんて		n	(go terminology)
逆寄せ	逆ヨセ			ぎゃくよせ		n	(go terminology)
級				きゅう		n	(go terminology)
九子				きゅうし		n	nine stones
九子局				きゅうしきょく		n	(go terminology)
急所				きゅうしょ		n	(go terminology)
急場				きゅうば		n	(go terminology)
九路				きゅうろ		n	9x9
強手				きょうしゅ		n	(go terminology)
局後の検討				きょくあとのけんとう		n	replay and analysis by the players just after the game has finished
切り	キリ			きり		n	(go terminology)
キリ込み	キリコミ			きりこみ		n	(go terminology)
切り下がり	切りサガリ	キリ下がり	キリサガリ	きりさがり		n	(go terminology)
切り違い	キリ違い			きりちがい		n	crosscut
切り違え	キリ違え			きりちがえ		n	crosscut
切りノビ	キリノビ			きりのび		n	(go terminology)
麒麟の首	キリンの首			きりんのくび		n	(go terminology)
切る				きる		v	(go terminology)
愚形				ぐけい		n	(go terminology)
クシ型				くしがた		n	(go terminology)
櫛形	クシ形			くしがたち		n	(go terminology)
崩す				くずす		v	(go terminology)
グズミ				ぐずみ		n	(go terminology)
苦戦				くせん		n	(go terminology)
九段				くだん		n	9 dan
ぐるぐる回し	グルグル回し			ぐるぐるまわし		n	(go terminology)
黒				くろ		n	(go terminology)
黒い				くろい		adj-i	(go terminology)
黒先				くろせん		n	(go terminology)
